"","time","GNSS_ID","SV_ID","C","C_std","L","L_std","D","D_std","S","NLOS"
"3334",126687.59999997,"GPS",2,23452735.5626854,10.24,123244956.798975,0.06,2857.907,8.192,32,1
"3335",126687.59999997,"GPS",25,21222175.7151261,5.12,111523286.155091,0.032,2506.439,2.048,40,0
"3336",126687.59999997,"GPS",29,23820632.8145201,1.28,125178263.296381,0.004,4082.165,0.256,40,0
"3337",126687.79999997,"GPS",12,19832749.1864788,0.64,104221798.291707,0.004,198.8557,0.128,51,0
"3338",126687.79999997,"Glonass",20,19765710.106206,2.56,105696161.757413,0.06,2180.319,1.024,37,1
"3339",126687.79999997,"GPS",32,22228458.5665599,10.24,116811337.556895,0.028,609.2307,4.096,40,1
"3340",126687.79999997,"Glonass",1,22701284.0261137,20.48,121351394.284299,0.06,-2394.404,8.192,32,1
"3341",126687.79999997,"Glonass",10,19092530.2455399,0.64,101773954.662712,0.004,73.49194,0.256,46,0
"3342",126687.79999997,"Glonass",21,22642496.9259822,10.24,121164617.187831,0.028,4788.377,4.096,37,1
"3343",126687.79999997,"Glonass",19,20808984.3247092,20.48,111314081.81818,0.06,-2299.512,8.192,36,1
"3344",126687.79999997,"GPS",14,22634952.8338364,10.24,118947479.205859,0.06,1588.889,4.096,34,1
"3345",126687.79999997,"Glonass",11,21000233.2623558,10.24,112218879.194944,0.06,3374.158,4.096,34,1
"3346",126687.79999997,"GPS",6,22835173.2512018,10.24,119999644.77332,0.06,1079.338,4.096,34,1
"3347",126687.79999997,"Glonass",9,21668365.7595296,10.24,115545257.708319,0.024,-2956.448,4.096,34,1
"3348",126687.79999997,"GPS",24,21284810.3051656,20.48,111852432.682364,0.06,-2236.394,8.192,33,1
"3349",126687.79999997,"GPS",25,21222081.8155044,10.24,111522792.487123,0.06,2505.225,2.048,42,1
"3350",126687.79999997,"GPS",29,23820477.8478614,1.28,125177446.543299,0.008,4084.314,0.256,41,0
"3351",126687.99999997,"GPS",12,19832741.8137618,0.64,104221758.658969,0.004,197.9353,0.128,51,0
"3352",126687.99999997,"Glonass",20,19765629.4469371,5.12,105695718.465016,0.06,2177.927,2.048,40,1
"3353",126687.99999997,"Glonass",2,22681809.355801,20.48,121034480.799824,0.06,1230.388,8.192,28,1
"3354",126687.99999997,"GPS",32,22228435.7198623,20.48,116811218.050365,0.06,625.4883,8.192,35,1
"3355",126687.99999997,"Glonass",10,19092527.4927681,0.64,101773940.237618,0.004,72.17236,0.256,45,0
"3356",126687.99999997,"Glonass",21,22642319.2522277,10.24,121163666.751669,0.06,4777.686,4.096,38,1
"3357",126687.99999997,"Glonass",19,20809082.8530011,20.48,111314609.794023,0.06,-2302.93,8.192,40,1
"3358",126687.99999997,"Glonass",11,21000109.3527222,10.24,112218216.953076,0.06,3369.759,4.096,34,1
"3359",126687.99999997,"GPS",6,22835136.6537327,10.24,119999452.722522,0.028,1079.95,4.096,36,1
"3360",126687.99999997,"Glonass",9,21668474.740502,10.24,115545819.592371,0.06,-2948.465,4.096,35,1
"3361",126687.99999997,"GPS",24,21284894.5330041,20.48,111852875.063306,0.06,-2242.333,8.192,38,1
"3362",126687.99999997,"GPS",2,23452519.1625352,20.48,123243819.919309,0.06,2848.733,8.192,28,1
"3363",126687.99999997,"GPS",25,21221984.7006801,10.24,111522282.311799,0.06,2516.309,4.096,36,1
"3364",126687.99999997,"GPS",29,23820321.0620176,1.28,125176629.675302,0.008,4084.363,0.512,41,1
"3365",126688.19999997,"GPS",12,19832732.7876367,0.64,104221718.984846,0.004,198.2514,0.128,51,0
"3366",126688.19999997,"Glonass",20,19765549.0668716,5.12,105695289.083902,0.024,2175.978,2.048,38,1
"3367",126688.19999997,"GPS",32,22228408.5062477,20.48,116811074.785105,0.06,629.3945,8.192,41,1
"3368",126688.19999997,"Glonass",10,19092524.7836218,0.64,101773925.77952,0.004,71.87207,0.256,44,0
"3369",126688.19999997,"Glonass",21,22642140.4442091,10.24,121162709.821763,0.06,4781.787,4.096,34,1
"3370",126688.19999997,"Glonass",19,20809170.5010823,20.48,111315078.391506,0.06,-2294.58,8.192,36,1
"3371",126688.19999997,"GPS",14,22634835.1190301,20.48,118946861.266289,0.06,1575.42,8.192,34,1
"3372",126688.19999997,"Glonass",11,20999987.1008592,20.48,112217563.528087,0.06,3383.887,8.192,34,1
"3373",126688.19999997,"GPS",6,22835096.3524548,10.24,119999240.510362,0.06,1092.334,4.096,36,1
"3374",126688.19999997,"Glonass",9,21668583.5295219,10.24,115546399.520544,0.028,-2959.828,4.096,38,1
"3375",126688.19999997,"GPS",24,21284974.7909181,10.24,111853296.807487,0.028,-2247.162,4.096,36,1
"3376",126688.19999997,"GPS",2,23452409.230526,20.48,123243241.667548,0.06,2841.333,8.192,28,1
"3377",126688.19999997,"GPS",25,21221885.0512117,10.24,111521758.139822,0.06,2500.635,4.096,39,1
"3378",126688.19999997,"GPS",29,23820167.2906989,1.28,125175812.597079,0.008,4085.205,0.512,41,1
"3379",126688.39999997,"GPS",12,19832725.8293624,0.64,104221679.397117,0.004,197.6831,0.128,51,0
"3380",126688.39999997,"Glonass",20,19765466.2961263,5.12,105694853.534636,0.024,2174.983,2.048,36,1
"3381",126688.39999997,"Glonass",2,22681715.8139088,20.48,121033981.547044,0.06,1233.487,8.192,29,1
"3382",126688.39999997,"GPS",32,22228387.0599301,10.24,116810961.983141,0.028,610.6384,4.096,44,1
"3383",126688.39999997,"Glonass",1,22701546.5166515,20.48,121352796.875689,0.06,-2381.973,8.192,32,1
"3384",126688.39999997,"Glonass",10,19092522.1704517,1.28,101773911.412251,0.008,72.0183,0.512,43,0
"3385",126688.39999997,"Glonass",21,22641965.1524093,20.48,121161771.264597,0.06,4783.105,8.192,37,1
"3386",126688.39999997,"Glonass",19,20809254.8248969,20.48,111315529.180808,0.06,-2290.088,8.192,36,1
"3387",126688.39999997,"GPS",14,22634774.7020138,20.48,118946543.326103,0.06,1581.986,8.192,31,1
"3388",126688.39999997,"Glonass",11,20999859.0816993,10.24,112216878.939025,0.06,3381.243,4.096,30,1
"3389",126688.39999997,"GPS",6,22835055.9770135,10.24,119999028.188705,0.024,1091.486,4.096,40,1
"3390",126688.39999997,"Glonass",9,21668692.6762713,10.24,115546982.027492,0.06,-2964.111,4.096,35,1
"3391",126688.39999997,"GPS",24,21285064.3977861,10.24,111853767.369232,0.06,-2243.445,4.096,38,1
"3392",126688.39999997,"GPS",2,23452300.834136,20.48,123242671.998556,0.06,2843.396,8.192,33,1
"3393",126688.39999997,"GPS",25,21221791.0948769,10.24,111521264.1678,0.06,2508.057,4.096,40,1
"3394",126688.39999997,"GPS",29,23820009.9028225,1.28,125174995.465923,0.008,4086.456,0.512,41,1
"3395",126688.59999997,"GPS",12,19832718.4348326,0.64,104221639.728617,0.004,198.312,0.128,51,0
"3396",126688.59999997,"Glonass",20,19765385.6455825,5.12,105694417.948453,0.028,2179.24,2.048,32,1
"3397",126688.59999997,"Glonass",2,22681667.9872246,20.48,121033725.492307,0.06,1219.403,8.192,33,1
"3398",126688.59999997,"GPS",19,22660993.6977932,81.92,119084324.690657,0.06,-2792.376,16.384,31,1
"3399",126688.59999997,"GPS",32,22228362.2806209,10.24,116810839.998572,0.024,607.627,4.096,44,1
"3400",126688.59999997,"Glonass",1,22701632.0968819,20.48,121353254.627589,0.06,-2371.628,8.192,32,1
"3401",126688.59999997,"Glonass",10,19092519.4700305,1.28,101773897.055749,0.008,72.12915,0.512,45,0
"3402",126688.59999997,"Glonass",21,22641786.8155466,20.48,121160817.305878,0.06,4773.047,8.192,38,1
"3403",126688.59999997,"Glonass",19,20809344.5582791,20.48,111316008.866193,0.06,-2293.653,8.192,38,1
"3404",126688.59999997,"GPS",14,22634724.5239127,20.48,118946279.564192,0.06,1578.104,8.192,34,1
"3405",126688.59999997,"Glonass",11,20999735.2244164,10.24,112216217.885192,0.024,3380.05,4.096,36,1
"3406",126688.59999997,"GPS",6,22835013.8391002,10.24,119998807.068526,0.06,1096.628,4.096,36,1
"3407",126688.59999997,"Glonass",9,21668804.5452547,10.24,115547578.305001,0.032,-2957.093,4.096,38,1
"3408",126688.59999997,"GPS",24,21285153.5989367,10.24,111854237.034044,0.06,-2235.706,4.096,38,1
"3409",126688.59999997,"GPS",2,23452186.7315247,10.24,123242072.832813,0.028,2839.622,4.096,36,1
"3410",126688.59999997,"GPS",25,21221701.2349806,10.24,111520792.255756,0.024,2503.172,4.096,43,1
"3411",126688.59999997,"GPS",29,23819854.6438728,1.28,125174178.129339,0.008,4087.054,0.512,41,1
"3412",126688.79999997,"GPS",12,19832711.7993873,0.64,104221600.146095,0.004,198.0378,0.128,51,0
"3413",126688.79999997,"Glonass",20,19765303.5902961,10.24,105693976.412737,0.06,2184.814,4.096,31,1
"3414",126688.79999997,"GPS",32,22228338.6530261,10.24,116810718.224875,0.02,608.3579,4.096,45,0
"3415",126688.79999997,"Glonass",1,22701723.2001062,20.48,121353741.460411,0.06,-2370.79,8.192,32,1
"3416",126688.79999997,"Glonass",10,19092516.9179361,1.28,101773882.706739,0.008,72.08081,0.512,44,0
"3417",126688.79999997,"Glonass",21,22641611.8727512,10.24,121159881.376473,0.06,4795.557,4.096,41,1
"3418",126688.79999997,"Glonass",19,20809430.9499446,20.48,111316471.208777,0.06,-2284.033,8.192,33,1
"3419",126688.79999997,"GPS",14,22634674.0709706,10.24,118946014.115096,0.028,1574.487,4.096,38,1
"3420",126688.79999997,"Glonass",11,20999606.1844188,10.24,112215528.093761,0.06,3376.904,4.096,37,1
"3421",126688.79999997,"Glonass",9,21668911.8073806,20.48,115548150.129731,0.06,-2963.623,8.192,33,1
"3422",126688.79999997,"GPS",24,21285239.0613781,10.24,111854686.010483,0.028,-2238.452,4.096,35,1
"3423",126688.79999997,"GPS",2,23452075.8659289,20.48,123241489.695526,0.06,2819.678,8.192,32,1
"3424",126688.79999997,"GPS",25,21221604.1245189,10.24,111520292.16247,0.024,2502.504,4.096,44,1
"3425",126688.79999997,"GPS",29,23819699.3325723,1.28,125173360.650608,0.008,4087.744,0.512,41,1
"3426",126689.09999997,"GPS",12,19832700.7752123,0.64,104221540.851524,0.004,197.6614,0.128,51,0
"3427",126689.09999997,"Glonass",20,19765179.0960802,10.24,105693311.142785,0.06,2179.297,4.096,37,1
"3428",126689.09999997,"Glonass",2,22681537.3985201,10.24,121033028.66364,0.06,1247.651,4.096,37,1
"3429",126689.09999997,"GPS",32,22228314.5368252,10.24,116810580.383262,0.06,616.2109,4.096,38,0
"3430",126689.09999997,"Glonass",1,22701864.9089619,20.48,121354499.816065,0.06,-2377.363,8.192,32,1
"3431",126689.09999997,"Glonass",10,19092512.9000235,0.64,101773861.411408,0.004,71.17456,0.256,44,0
"3432",126689.09999997,"Glonass",21,22641339.6362668,10.24,121158424.414226,0.028,4775.956,4.096,38,1
"3433",126689.09999997,"Glonass",19,20809560.8188275,20.48,111317165.993964,0.06,-2278.809,8.192,35,1
"3434",126689.09999997,"GPS",14,22634586.3661763,10.24,118945553.27312,0.06,1575.439,4.096,39,1
"3435",126689.09999997,"Glonass",11,20999423.4239258,10.24,112214551.266545,0.028,3382.253,4.096,37,1
"3436",126689.09999997,"GPS",6,22834914.5560864,20.48,119998285.358196,0.06,1087.611,8.192,34,1
"3437",126689.09999997,"Glonass",9,21669073.8021144,20.48,115549014.36058,0.06,-2968.799,8.192,35,1
"3438",126689.09999997,"GPS",24,21285368.1886268,10.24,111855364.632904,0.06,-2239.99,4.096,38,1
"3439",126689.09999997,"GPS",2,23451881.20875,10.24,123240466.577008,0.028,2828.933,4.096,42,1
"3440",126689.09999997,"GPS",25,21221458.3803003,5.12,111519541.279143,0.024,2503.035,2.048,40,1
"3441",126689.09999997,"GPS",29,23819467.0483614,1.28,125172134.232799,0.008,4088.739,0.512,41,1
"3442",126689.39999997,"GPS",12,19832689.292969,0.32,104221481.673349,0.004,197.0422,0.128,51,0
"3443",126689.39999997,"Glonass",20,19765061.634302,10.24,105692682.080874,0.06,2169.724,4.096,29,1
"3444",126689.39999997,"Glonass",2,22681437.3782346,10.24,121032495.746266,0.02,1246.311,4.096,41,1
"3445",126689.39999997,"GPS",32,22228283.6543024,20.48,116810418.167816,0.06,608.252,8.192,37,0
"3446",126689.39999997,"Glonass",1,22701999.9518344,10.24,121355220.919112,0.06,-2376.581,4.096,32,1
"3447",126689.39999997,"Glonass",10,19092508.9170113,1.28,101773840.219129,0.008,69.78149,0.512,44,0
"3448",126689.39999997,"Glonass",21,22641068.7783496,10.24,121156974.880144,0.06,4780.213,4.096,38,1
"3449",126689.39999997,"Glonass",19,20809684.4318075,20.48,111317827.310795,0.06,-2276.953,8.192,35,1
"3450",126689.39999997,"GPS",14,22634492.8111964,10.24,118945061.722318,0.028,1573.209,4.096,36,1
"3451",126689.39999997,"Glonass",11,20999238.586857,10.24,112213536.078435,0.024,3381.376,4.096,37,0
"3452",126689.39999997,"Glonass",9,21669234.5229824,10.24,115549870.677085,0.06,-2960.107,4.096,32,1
"3453",126689.39999997,"GPS",24,21285488.8307071,10.24,111855998.248033,0.024,-2243.833,4.096,41,1
"3454",126689.39999997,"GPS",2,23451718.0099511,10.24,123239618.373814,0.028,2827.053,4.096,41,1
"3455",126689.39999997,"GPS",25,21221322.0984624,10.24,111518799.930325,0.06,2503.567,4.096,40,1
"3456",126689.39999997,"GPS",29,23819232.4040086,1.28,125170907.693113,0.008,4089.02,0.512,39,1
"3457",126689.59999997,"GPS",12,19832681.7282996,0.32,104221442.322328,0.004,196.6819,0.128,51,0
"3458",126689.59999997,"Glonass",20,19764978.2964247,10.24,105692236.75849,0.028,2174.489,4.096,34,1
"3459",126689.59999997,"Glonass",2,22681379.9452054,10.24,121032246.846395,0.024,1246.518,4.096,39,1
"3460",126689.59999997,"GPS",32,22228272.329111,10.24,116810358.970248,0.032,617.1782,4.096,40,0
"3461",126689.59999997,"Glonass",1,22702091.15976,20.48,121355708.462029,0.06,-2385.173,8.192,35,1
"3462",126689.59999997,"Glonass",10,19092506.1904148,1.28,101773826.198948,0.008,69.87964,0.512,44,0
"3463",126689.59999997,"Glonass",21,22640888.4085365,10.24,121156009.142303,0.028,4778.174,4.096,40,1
"3464",126689.59999997,"Glonass",19,20809774.278616,10.24,111318308.068487,0.06,-2302.735,4.096,37,1
"3465",126689.59999997,"GPS",14,22634428.2977414,10.24,118944722.782827,0.06,1578.076,4.096,36,1
"3466",126689.59999997,"Glonass",11,20999112.6704483,10.24,112212890.969118,0.06,3384.717,4.096,37,0
"3467",126689.59999997,"GPS",6,22834807.9003556,20.48,119997725.419896,0.06,1085.67,8.192,29,1
"3468",126689.59999997,"Glonass",9,21669341.9945109,10.24,115550443.748991,0.028,-2967.028,4.096,38,1
"3469",126689.59999997,"GPS",24,21285577.1680719,5.12,111856462.923077,0.02,-2241.14,2.048,46,1
"3470",126689.59999997,"GPS",2,23451620.4894093,10.24,123239097.245236,0.06,2826.806,4.096,37,1
"3471",126689.59999997,"GPS",25,21221222.9332375,10.24,111518278.220111,0.028,2504.058,4.096,34,1
"3472",126689.59999997,"GPS",29,23819075.5134634,1.28,125170089.834727,0.008,4089.24,0.512,39,1
"3473",126689.79999997,"GPS",12,19832674.7700253,0.64,104221402.968375,0.004,196.4702,0.128,51,0
"3474",126689.79999997,"Glonass",20,19764896.7646448,10.24,105691801.639101,0.024,2179.028,4.096,34,1
"3475",126689.79999997,"Glonass",2,22681330.8708306,10.24,121031927.01586,0.06,1230.842,4.096,34,1
"3476",126689.79999997,"GPS",32,22228261.7979046,10.24,116810303.962024,0.06,606.2988,4.096,40,0
"3477",126689.79999997,"Glonass",1,22702184.008006,10.24,121356204.978855,0.028,-2385.827,4.096,32,1
"3478",126689.79999997,"Glonass",10,19092503.6732209,1.28,101773812.162495,0.008,71.05713,0.512,44,0
"3479",126689.79999997,"Glonass",21,22640710.8743837,10.24,121155053.485346,0.024,4778.553,4.096,40,1
"3480",126689.79999997,"Glonass",19,20809862.3629526,20.48,111318779.507863,0.06,-2291.992,8.192,32,1
"3481",126689.79999997,"GPS",14,22634368.8972002,20.48,118944411.221362,0.06,1575.537,8.192,34,1
"3482",126689.79999997,"Glonass",11,20998984.1714074,10.24,112212204.556692,0.028,3379.64,4.096,37,0
"3483",126689.79999997,"GPS",6,22834766.4081003,20.48,119997507.265528,0.06,1086.403,8.192,36,1
"3484",126689.79999997,"Glonass",9,21669447.5465154,10.24,115551037.021043,0.024,-2965.591,4.096,41,1
"3485",126689.79999997,"GPS",24,21285664.933942,5.12,111856911.45026,0.02,-2242.969,2.048,38,1
"3486",126689.79999997,"GPS",2,23451512.4245734,10.24,123238529.523757,0.028,2825.383,4.096,37,1
"3487",126689.79999997,"GPS",25,21221128.6278983,10.24,111517783.375817,0.06,2495.337,4.096,32,1
"3488",126689.79999997,"GPS",29,23818919.7397322,1.28,125169271.758573,0.008,4091.083,0.512,42,1
"3489",126689.99999997,"GPS",12,19832667.174818,0.32,104221363.660486,0.004,196.2024,0.128,51,0
"3490",126689.99999997,"Glonass",20,19764812.0220249,10.24,105691366.144837,0.024,2174.659,4.096,43,1
"3491",126689.99999997,"Glonass",2,22681286.1939106,10.24,121031688.91382,0.028,1231.195,4.096,39,1
"3492",126689.99999997,"GPS",32,22228240.5435394,10.24,116810192.300418,0.06,609.8145,4.096,38,0
"3493",126689.99999997,"Glonass",1,22702274.0903925,10.24,121356686.350191,0.06,-2381.153,4.096,37,1
"3494",126689.99999997,"Glonass",10,19092501.1124014,1.28,101773798.270492,0.008,69.1748,0.512,44,0
"3495",126689.99999997,"Glonass",21,22640533.6368847,10.24,121154111.433147,0.06,4781.006,4.096,39,0
"3496",126689.99999997,"Glonass",19,20809950.90972,20.48,111319252.822229,0.06,-2282.862,8.192,38,1
"3497",126689.99999997,"GPS",14,22634310.2033929,20.48,118944102.266989,0.06,1563.476,8.192,35,1
"3498",126689.99999997,"Glonass",11,20998858.1241221,10.24,112211530.881269,0.06,3382.324,4.096,40,0
"3499",126689.99999997,"GPS",6,22834715.1175479,10.24,119997237.750983,0.06,1088.621,4.096,39,1
"3500",126689.99999997,"Glonass",9,21669558.2027087,10.24,115551630.417431,0.024,-2969.728,4.096,35,0
"3501",126689.99999997,"GPS",24,21285748.4288713,5.12,111857358.147429,0.06,-2227.408,2.048,29,1
"3502",126689.99999997,"GPS",25,21221027.3293843,10.24,111517250.632236,0.024,2502.376,4.096,43,1
"3503",126689.99999997,"GPS",29,23818763.3334306,1.28,125168453.879172,0.008,4089.557,0.512,43,1
"3504",126690.19999997,"GPS",12,19832658.9034148,0.32,104221323.890775,0.004,197.0032,0.128,50,0
"3505",126690.19999997,"Glonass",20,19764724.3739438,5.12,105690930.677801,0.02,2177.6,2.048,48,1
"3506",126690.19999997,"Glonass",2,22681245.2164368,10.24,121031470.048345,0.06,1237.207,4.096,37,1
"3507",126690.19999997,"GPS",32,22228214.7346674,10.24,116810055.879277,0.06,609.8145,4.096,35,1
"3508",126690.19999997,"Glonass",1,22702369.6259721,10.24,121357197.033694,0.028,-2397.561,4.096,36,1
"3509",126690.19999997,"Glonass",10,19092498.3683547,1.28,101773784.356524,0.008,69.58301,0.512,44,0
"3510",126690.19999997,"Glonass",21,22640357.6121758,10.24,121153169.559341,0.028,4776.497,4.096,33,0
"3511",126690.19999997,"Glonass",19,20810035.7657663,20.48,111319706.570015,0.06,-2286.28,8.192,34,1
"3512",126690.19999997,"GPS",14,22634258.5071228,10.24,118943830.759122,0.028,1573.525,4.096,36,1
"3513",126690.19999997,"Glonass",11,20998731.5795056,10.24,112210854.535456,0.024,3384.665,4.096,38,0
"3514",126690.19999997,"GPS",6,22834675.6058923,10.24,119997030.137308,0.06,1094.029,4.096,36,1
"3515",126690.19999997,"Glonass",9,21669670.2549193,10.24,115552194.94217,0.06,-2966.797,4.096,40,0
"3516",126690.19999997,"GPS",24,21285832.3862314,10.24,111857804.114852,0.06,-2246.489,4.096,39,1
"3517",126690.19999997,"GPS",2,23451303.8333956,20.48,123237433.300584,0.06,2819.001,8.192,34,0
"3518",126690.19999997,"GPS",25,21220936.8849057,5.12,111516750.002502,0.024,2506.59,2.048,36,1
"3519",126690.19999997,"GPS",29,23818608.6372504,1.28,125167635.828374,0.008,4090.259,0.512,44,1
"3520",126690.39999997,"GPS",12,19832651.1380679,0.32,104221284.648236,0.004,195.8784,0.128,50,0
"3521",126690.39999997,"Glonass",20,19764641.6380989,5.12,105690495.444555,0.016,2177.208,2.048,45,1
"3522",126690.39999997,"Glonass",2,22681197.2937764,10.24,121031214.354807,0.028,1236.323,4.096,36,1
"3523",126690.39999997,"GPS",32,22228187.9354955,10.24,116809915.159989,0.028,607.6111,4.096,35,1
"3524",126690.39999997,"Glonass",1,22702461.2265276,10.24,121357675.770916,0.036,-2387.079,4.096,39,1
"3525",126690.39999997,"Glonass",10,19092495.6679335,1.28,101773770.477127,0.008,69.77246,0.512,45,0
"3526",126690.39999997,"Glonass",21,22640180.5055534,10.24,121152221.457485,0.06,4795.068,4.096,35,1
"3527",126690.39999997,"Glonass",19,20810117.8123276,20.48,111320145.581589,0.06,-2284.18,8.192,34,1
"3528",126690.39999997,"GPS",14,22634196.654826,10.24,118943517.083799,0.032,1567.201,4.096,33,1
"3529",126690.39999997,"Glonass",11,20998605.2442918,5.12,112210179.586848,0.06,3379.639,2.048,35,1
"3530",126690.39999997,"GPS",6,22834635.8717465,10.24,119996821.277858,0.06,1084.384,4.096,37,1
"3531",126690.39999997,"Glonass",9,21669782.7608357,5.12,115552794.260449,0.024,-2968.968,2.048,40,0
"3532",126690.39999997,"GPS",24,21285910.8031474,10.24,111858215.664189,0.028,-2243.901,4.096,42,1
"3533",126690.39999997,"GPS",2,23451201.0908761,20.48,123236892.953876,0.06,2811.157,8.192,37,0
"3534",126690.39999997,"GPS",25,21220844.9135332,10.24,111516292.283425,0.06,2509.668,4.096,41,1
"3535",126690.39999997,"GPS",29,23818452.6977421,1.28,125166817.845772,0.008,4090.265,0.512,44,0
"3536",126690.59999997,"GPS",12,19832643.8613271,0.32,104221245.477535,0.004,195.8533,0.128,50,0
"3537",126690.59999997,"Glonass",20,19764561.9124166,5.12,105690059.920563,0.012,2177.677,1.024,41,0
"3538",126690.59999997,"Glonass",2,22681152.5906811,10.24,121030975.689819,0.06,1240.186,4.096,33,1
"3539",126690.59999997,"GPS",32,22228166.6854929,10.24,116809804.101013,0.06,610.9028,4.096,33,1
"3540",126690.59999997,"Glonass",1,22702551.0209855,10.24,121358152.329737,0.036,-2380.661,4.096,39,0
"3541",126690.59999997,"Glonass",10,19092493.0896638,0.64,101773756.753458,0.008,68.80005,0.256,45,0
"3542",126690.59999997,"Glonass",21,22640007.32523,10.24,121151294.615185,0.028,4796.506,4.096,35,1
"3543",126690.59999997,"Glonass",19,20810198.2970943,20.48,111320576.267907,0.06,-2281.494,8.192,31,1
"3544",126690.59999997,"GPS",14,22634138.4103618,10.24,118943199.448182,0.06,1574.414,4.096,36,1
"3545",126690.59999997,"Glonass",11,20998479.9997165,10.24,112209509.684809,0.028,3373.871,4.096,35,1
"3546",126690.59999997,"GPS",6,22834594.2442521,10.24,119996602.317808,0.06,1078.486,4.096,36,1
"3547",126690.59999997,"Glonass",9,21669888.941048,5.12,115553360.551025,0.06,-2964.111,2.048,40,0
"3548",126690.59999997,"GPS",24,21285995.7333571,10.24,111858664.461681,0.024,-2243.123,4.096,41,1
"3549",126690.59999997,"GPS",2,23451087.3808948,20.48,123236295.510508,0.06,2812.599,8.192,30,0
"3550",126690.59999997,"GPS",25,21220753.6750697,10.24,111515812.570932,0.028,2514.204,4.096,35,1
"3551",126690.59999997,"GPS",29,23818296.9065607,0.64,125165999.772293,0.004,4089.789,0.256,45,0
"3552",126690.79999997,"GPS",12,19832636.5714987,0.32,104221206.360678,0.004,195.5994,0.128,50,0
"3553",126690.79999997,"Glonass",20,19764482.9807192,2.56,105689624.905134,0.012,2175.066,1.024,49,0
"3554",126690.79999997,"Glonass",2,22681112.9481489,20.48,121030764.321824,0.06,1227.1,8.192,29,1
"3555",126690.79999997,"GPS",32,22228145.9851721,10.24,116809694.983449,0.028,614.2883,4.096,37,1
"3556",126690.79999997,"Glonass",1,22702644.6195909,10.24,121358666.944398,0.06,-2397.266,4.096,39,0
"3557",126690.79999997,"Glonass",10,19092490.5375695,0.64,101773743.04223,0.004,68.54614,0.256,44,0
"3558",126690.79999997,"Glonass",21,22639829.529324,10.24,121150333.378065,0.032,4809.701,4.096,31,1
"3559",126690.79999997,"Glonass",19,20810279.4711447,20.48,111321010.062204,0.06,-2284.082,8.192,34,1
"3560",126690.79999997,"GPS",14,22634077.6574287,10.24,118942880.411989,0.028,1574.664,4.096,36,1
"3561",126690.79999997,"Glonass",11,20998350.6892405,10.24,112208833.748994,0.06,3375.446,4.096,32,1
"3562",126690.79999997,"GPS",6,22834553.8077351,10.24,119996389.672899,0.06,1079.645,8.192,40,1
"3563",126690.79999997,"Glonass",9,21669995.6185916,5.12,115553929.375847,0.028,-2962.991,2.048,40,0
"3564",126690.79999997,"GPS",24,21286072.3441756,5.12,111859064.22738,0.024,-2244.492,2.048,38,0
"3565",126690.79999997,"GPS",2,23450982.61415,20.48,123235744.618229,0.06,2825.666,8.192,36,1
"3566",126690.79999997,"GPS",25,21220657.7992109,10.24,111515308.684322,0.06,2497.754,4.096,41,1
"3567",126690.79999997,"GPS",29,23818141.6519734,0.64,125165181.744669,0.004,4090.014,0.256,43,0
"3568",126690.99999997,"GPS",12,19832629.0548174,0.32,104221167.177925,0.004,195.6226,0.128,50,0
"3569",126690.99999997,"Glonass",20,19764398.5783786,2.56,105689189.522295,0.012,2177.417,1.024,42,0
"3570",126690.99999997,"Glonass",2,22681075.5392446,10.24,121030564.348208,0.028,1220.892,4.096,33,1
"3571",126690.99999997,"GPS",19,22662291.7976781,81.92,119091146.741706,0.06,-2822.283,32.768,33,1
"3572",126690.99999997,"GPS",32,22228120.2417383,10.24,116809559.635692,0.06,615.9197,4.096,37,1
"3573",126690.99999997,"Glonass",1,22702740.7223026,10.24,121359181.308561,0.024,-2395.247,4.096,43,1
"3574",126690.99999997,"Glonass",10,19092487.8022478,0.64,101773729.307269,0.004,68.54639,0.256,44,0
"3575",126690.99999997,"Glonass",21,22639652.4401518,20.48,121149395.239273,0.06,4792.692,8.192,31,1
"3576",126690.99999997,"Glonass",19,20810361.4217298,10.24,111321449.237841,0.06,-2279.102,8.192,33,1
"3577",126690.99999997,"GPS",14,22634020.5603163,10.24,118942580.424258,0.06,1576.258,4.096,32,1
"3578",126690.99999997,"Glonass",11,20998220.8639831,10.24,112208125.273527,0.06,3383.541,4.096,32,1
"3579",126690.99999997,"GPS",6,22834510.2607167,10.24,119996160.870566,0.028,1086.215,4.096,40,1
"3580",126690.99999997,"Glonass",9,21670109.1976964,5.12,115554522.67417,0.032,-2965.396,2.048,42,0
"3581",126690.99999997,"GPS",24,21286155.3068733,5.12,111859512.836362,0.024,-2242.212,2.048,32,0
"3582",126690.99999997,"GPS",2,23450870.1125963,10.24,123235154.201385,0.024,2825.339,4.096,38,1
"3583",126690.99999997,"GPS",25,21220561.8666389,10.24,111514805.248063,0.06,2513.721,4.096,34,1
"3584",126690.99999997,"GPS",29,23817986.0701946,0.64,125164363.845736,0.004,4089.722,0.256,42,0
"3585",126691.19999997,"GPS",12,19832621.3767216,0.32,104221127.962382,0.004,195.8997,0.128,50,0
"3586",126691.19999997,"Glonass",20,19764319.6205059,2.56,105688714.519891,0.012,2175.852,1.024,48,0
"3587",126691.19999997,"Glonass",2,22681029.3092553,20.48,121030317.629293,0.06,1230.176,8.192,33,1
"3588",126691.19999997,"GPS",19,22662396.7738254,81.92,119091698.381875,0.06,-2813.086,16.384,34,1
